"age","letality","letalityL","letalityH","ICU","Deaths","study"
"16-39",15.1445086705202,12.8197135770041,17.7095386436108,865,131,"ICNARC"
"40-49",21.5672676837725,19.4694114166758,23.7815959408208,1442,311,"ICNARC"
"50-59",33.3333333333333,31.6390943164874,35.0604325759941,2973,991,"ICNARC"
"60-69",46.4828897338403,44.7308965039474,48.2414084971991,3156,1467,"ICNARC"
"70-79",59.2957017089591,57.0658205480019,61.4973038241984,1931,1145,"ICNARC"
"80+",58.2317073170732,52.6877412333375,63.6256495450541,328,191,"ICNARC"
"20-29",0,0,36.9416647552819,8,0,"Cummings"
"30-39",26.3157894736842,9.14657849076665,51.2029345345873,19,5,"Cummings"
"40-49",21.4285714285714,8.29606123876385,40.9531026505828,28,6,"Cummings"
"50-59",34.6153846153846,21.9657902213823,49.0856079463503,52,18,"Cummings"
"60-69",31.8840579710145,21.1747858899689,44.2054391447611,69,22,"Cummings"
"70-79",53.8461538461538,39.4698229111857,67.7689681826402,52,28,"Cummings"
"80-89",73.9130434782609,51.5948029597562,89.7713866084642,23,17,"Cummings"
"90+",83.3333333333333,35.8765421002325,99.5789255485511,6,5,"Cummings"
"0-24",50,6.7585986488543,93.2414013511457,4,2,"Chishinga"
"25-34",23.0769230769231,5.03810734911515,53.8131539234041,13,3,"Chishinga"
"35-44",14.2857142857143,1.77945154831915,42.8129160909699,14,2,"Chishinga"
"45-54",48.4848484848485,30.7963443604732,66.4555521611444,33,16,"Chishinga"
"55-64",75,59.6619592264141,86.8072562066353,44,33,"Chishinga"
"0-9",3.84615384615385,0.469228900927086,13.2128407276803,52,2,"Spain"
"10-19",16.6666666666667,6.37201336083857,32.8115932042918,36,6,"Spain"
"20-29",31.4285714285714,22.7183584043637,41.2178077618179,105,33,"Spain"
"30-39",23.9344262295082,19.2558015353791,29.12730136445,305,73,"Spain"
"40-49",33.698296836983,30.4695397000921,37.0444829471695,822,277,"Spain"
"50-59",49.8109130199892,47.5079516216111,52.1144745268872,1851,922,"Spain"
"60-69",85.1387948544347,83.8044006843374,86.4031688673027,2954,2515,"Spain"
"5-14",0,0,84.1886116991581,2,0,"Ireland"
"15-24",20,0.505076337946806,71.6417936118089,5,1,"Ireland"
"25-34",33.3333333333333,11.8241103366881,61.6196267458846,15,5,"Ireland"
"35-44",33.3333333333333,18.5561809825921,50.9702546651891,36,12,"Ireland"
"45-54",26.3736263736264,17.685483487497,36.6549166422638,91,24,"Ireland"
"55-64",52.755905511811,43.7047412564325,61.6756312987558,127,67,"Ireland"
"10-19",0,0,97.5,1,0,"New Zealand"
"20-29",0,0,97.5,1,0,"New Zealand"
"30-39",0,0,97.5,1,0,"New Zealand"
"40-49",0,0,70.7598226178713,3,0,"New Zealand"
"50-59",50,6.7585986488543,93.2414013511457,4,2,"New Zealand"
"60-69",50,11.8117248757025,88.1882751242975,6,3,"New Zealand"
"70-79",70,34.7547149940003,93.3260488822266,10,7,"New Zealand"
"80-89",100,63.0583352447181,100,8,8,"New Zealand"
"90+",100,47.8176249895019,100,5,5,"New Zealand"
"0-24",50,6.7585986488543,93.2414013511457,4,2,"Atlanta, USA"
"25-34",23.0769230769231,5.03810734911515,53.8131539234041,13,3,"Atlanta, USA"
"35-44",14.2857142857143,1.77945154831915,42.8129160909699,14,2,"Atlanta, USA"
"45-54",48.4848484848485,30.7963443604732,66.4555521611444,33,16,"Atlanta, USA"
"55-64",75,59.6619592264141,86.8072562066353,44,33,"Atlanta, USA"
