"age","letality","letalityL","letalityH","study","meanAge"
"0-9",0,0,13.2274604497754,"Richardson",4.5
"10-19",0,0,36.9416647552819,"Richardson",14.5
"20-29",4.12371134020619,1.13482725688341,10.222746629841,"Richardson",24.5
"30-39",3.7914691943128,1.65085934409945,7.33375760794233,"Richardson",34.5
"40-49",6.25,3.9579304614583,9.30993364910508,"Richardson",44.5
"50-59",10.2912621359223,7.80427612910181,13.2446632084587,"Richardson",54.5
"60-69",15.7598499061914,12.7697205112502,19.1354828037244,"Richardson",64.5
"70-79",32.1507760532151,27.8587833788291,36.6788070758986,"Richardson",74.5
"80-89",54.3130990415335,48.6162900875847,59.9275124679176,"Richardson",84.5
"90+",52.34375,43.335249020583,61.241358504509,"Richardson",90
"18-59",4.62707182320442,3.89091443645606,5.45655506279916,"Karagiannidis",38.5
"60-69",14.8673658235657,13.1694378300425,16.6935736196933,"Karagiannidis",64.5
"70-79",26.5060240963855,24.6536013441691,28.422457691889,"Karagiannidis",74.5
"80+",38.2546323968918,36.6037998550485,39.9260191990686,"Karagiannidis",85
"0-20",0.6,0.2,1.3,"Salje",10
"20-29",1.1,0.7,1.6,"Salje",24.5
"30-39",1.9,1.5,2.3,"Salje",34.5
"40-49",3.3,2.9,3.8,"Salje",44.5
"50-59",6.5,6,7,"Salje",54.5
"60-69",12.6,12,13.2,"Salje",64.5
"70-79",21,20.3,21.7,"Salje",74.5
"80+",31.6,30.9,32.4,"Salje",85
"0-4",0.373769717297165,0.281615823845974,0.49607937388068,"Fitted",2
"5-9",0.494562102153016,0.381859208404841,0.640528413358824,"Fitted",7
"10-14",0.65439135801242,0.517447664059218,0.827577510123481,"Fitted",12
"15-19",0.865873158450882,0.700569134231419,1.07018178491153,"Fitted",17
"20-24",1.14570022563085,0.947370193043608,1.38555024915181,"Fitted",22
"25-29",1.5159599234592,1.27901061260718,1.79680642746961,"Fitted",27
"30-34",2.00587766164488,1.72278193889649,2.33549302012255,"Fitted",32
"35-39",2.65412372136119,2.31312357508443,3.04539403089825,"Fitted",37
"40-44",3.51186558531967,3.09242336696725,3.9881990354535,"Fitted",42
"45-49",4.64680669936045,4.11202023623627,5.25114451308854,"Fitted",47
"50-54",6.14853045386578,5.43483334463771,6.95594958388463,"Fitted",52
"55-59",8.13557119716601,7.14100646167024,9.26865408390575,"Fitted",57
"60-64",10.7647704115287,9.33579386362911,12.4124722231042,"Fitted",62
"65-69",14.2436565552139,12.1578608280198,16.6872902176436,"Fitted",67
"70-74",18.8468257386715,15.7881161347594,22.4981142393441,"Fitted",72
"75-79",24.9376161975646,20.4606980332462,30.3941097516101,"Fitted",77
"80+",39.0338771784217,30.890305448275,49.3243283117227,"Fitted",85
