"age","severe","severeL","severeH","study"
"0-4",0.572406487246973,0.381604324831315,0.763208649662631,"Driscoll"
"5-9",0.146429453054993,0,0.146429453054993,"Driscoll"
"10-14",0.112376004813165,0.112376004813165,0.112376004813165,"Driscoll"
"15-19",0.258725950161663,0.172483966774442,0.258725950161663,"Driscoll"
"20-24",0.397113941410935,0.330928284509113,0.52948525521458,"Driscoll"
"25-29",0.660316856097179,0.558729647466844,0.761904064727515,"Driscoll"
"30-34",0.935546591849488,0.818603267868302,1.0914710238244,"Driscoll"
"35-39",1.19662843454879,1.01713416936647,1.40603841059482,"Driscoll"
"40-44",1.72189132609889,1.46934726493772,1.99739393827471,"Driscoll"
"45-49",2.13194007384008,1.83241130313528,2.46670752345134,"Driscoll"
"50-54",2.79901429197124,2.39336004675802,3.23171215353202,"Driscoll"
"55-59",3.35183352689931,2.87448262213965,3.87069320598589,"Driscoll"
"60-64",3.63153227981489,3.12184353878824,4.19696822689133,"Driscoll"
"65-69",6.57020133686142,5.62898179651104,7.60309810516801,"Driscoll"
"70-74",7.85182868675591,6.73080893996101,9.08541945414946,"Driscoll"
"75-79",11.5296851622851,9.87744492204504,13.3367104359245,"Driscoll"
"80+",17.5796449162787,15.0631183224988,20.3378598265632,"Driscoll"
"0-9",1.46429453054993,0,8.78576718329955,"Brazeau"
"10-14",1.12376004813165,0,12.3613605294482,"Brazeau"
"15-19",1.72483966774442,0,15.5235570096998,"Brazeau"
"20-24",1.98556970705468,0,19.8556970705468,"Brazeau"
"25-29",2.03174417260671,0,23.3650579849771,"Brazeau"
"30-34",2.33886647962372,0.389811079937287,27.6765866755474,"Brazeau"
"35-39",2.99157108637196,0.299157108637196,30.8131821896312,"Brazeau"
"40-44",3.6733681623443,0.459171020293037,33.7490699915382,"Brazeau"
"45-49",4.22864146877372,0.528580183596715,35.7672590900444,"Brazeau"
"50-54",5.13828710603417,0.676090408688706,37.0497543961411,"Brazeau"
"55-59",6.22631614903896,1.03771935817316,37.772984637503,"Brazeau"
"60-64",7.48605338382894,1.43349958413746,38.1470167112134,"Brazeau"
"65-69",8.98436833970817,2.13913531897814,38.321081285694,"Brazeau"
"70-74",10.8349607326202,3.0487984745468,38.5086699631219,"Brazeau"
"75-79",12.99474350167,4.35557884682015,38.8762409468245,"Brazeau"
"80-84",15.6358713569485,6.16042281378008,39.5040566085449,"Brazeau"
"85-89",18.7838463528979,8.60749618428504,40.9174079696309,"Brazeau"
"90+",31.4179404657466,17.5448487344699,56.2882157336807,"Brazeau"
"0-9",0.146429453054993,0.0102500617138495,0.19035828897149,"Levin"
"10-19",0.258725950161663,0.172483966774442,0.344967933548884,"Levin"
"20-29",0.558729647466844,0.457142438836509,0.660316856097179,"Levin"
"30-39",1.04704988023019,0.897471325911589,1.25645985627622,"Levin"
"40-49",2.04384337657396,1.77955328477561,2.36099148673199,"Levin"
"50-59",3.98484233538493,3.47635984988009,4.57634236954364,"Levin"
"60-69",7.7620053002921,6.66187856481763,9.10660464364978,"Levin"
"70-79",15.0825416265921,12.4187991913467,18.358224891556,"Levin"
"80+",33.0943387775097,25.864890011891,42.4014590358869,"Levin"
"0-9",0,0,0,"Verity"
"10-19",0.0408,0.0243,0.0832,"Verity"
"20-29",1.04,0.622,2.13,"Verity"
"30-39",3.43,2.04,7,"Verity"
"40-49",4.25,2.53,8.68,"Verity"
"50-59",8.16,4.86,16.7,"Verity"
"60-69",11.8,7.01,24,"Verity"
"70-79",16.6,9.87,33.8,"Verity"
"80+",18.4,11,37.6,"Verity"
"0-20",0.1,0.08,0.2,"Salje"
"20-29",0.5,0.3,0.8,"Salje"
"30-39",1.1,0.6,1.7,"Salje"
"40-49",1.4,0.8,2.3,"Salje"
"50-59",2.9,1.6,4.7,"Salje"
"60-69",5.8,3.3,9.5,"Salje"
"70-79",9.3,5.2,15.1,"Salje"
"80+",26.2,14.8,42.7,"Salje"
"0-4",0.274015307105846,0.192789413191609,0.38946323496346,"Fitted"
"5-9",0.354982272322156,0.257217966160031,0.489905178647598,"Fitted"
"10-14",0.459873628936816,0.342779189188969,0.616967894380917,"Fitted"
"15-19",0.595758636644224,0.456102165897541,0.77817730252988,"Fitted"
"20-24",0.771795403786785,0.605652984208713,0.983513927673697,"Fitted"
"25-29",0.999848107384013,0.802049667364138,1.24642684676225,"Fitted"
"30-34",1.29528659141324,1.05829568713292,1.58534838069713,"Fitted"
"35-39",1.6780222330816,1.38988970370926,2.0258863758769,"Fitted"
"40-44",2.17384989035052,1.81492038423899,2.60376344153434,"Fitted"
"45-49",2.81618637263142,2.35454084248804,3.36834491985891,"Fitted"
"50-54",3.64832260065395,3.03431637306696,4.38657547926981,"Fitted"
"55-59",4.72634124211227,3.88645670958332,5.74772941167954,"Fitted"
"60-64",6.12289646011217,4.95235932038388,7.57010116510451,"Fitted"
"65-69",7.93211051441124,6.28507503358409,10.0107599156146,"Fitted"
"70-74",10.2759172268741,7.95191267413193,13.2791290826261,"Fitted"
"75-79",13.3122798354514,10.0376280821968,17.6552461364538,"Fitted"
"80-84",17.2458370873111,12.6485370160242,23.5140946708132,"Fitted"
"85-89",22.3416950754019,15.9177939333546,31.358072665855,"Fitted"
"90+",26.0960769752532,18.2630630008109,37.2886647474249,"Fitted"
