"age","severe","severeL","severeH","study"
"0-9",0,0,0,"Verity"
"10-19",0.0408,0.0243,0.0832,"Verity"
"20-29",1.04,0.622,2.13,"Verity"
"30-39",3.43,2.04,7,"Verity"
"40-49",4.25,2.53,8.68,"Verity"
"50-59",8.16,4.86,16.7,"Verity"
"60-69",11.8,7.01,24,"Verity"
"70-79",16.6,9.87,33.8,"Verity"
"80+",18.4,11,37.6,"Verity"
"0-20",0.1,0.08,0.2,"Salje"
"20-29",0.5,0.3,0.8,"Salje"
"30-39",1.1,0.6,1.7,"Salje"
"40-49",1.4,0.8,2.3,"Salje"
"50-59",2.9,1.6,4.7,"Salje"
"60-69",5.8,3.3,9.5,"Salje"
"70-79",9.3,5.2,15.1,"Salje"
"80+",26.2,14.8,42.7,"Salje"
