date,areaType,areaCode,areaName,metric,age,rate,value
"2021-01-16",nation,E92000001,England,newAdmissions,,,3569
"2021-01-16",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",299.5,101368
"2021-01-16",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",24.6,1944
"2021-01-16",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",49.2,1993
"2021-01-16",nation,E92000001,England,cumAdmissionsByAge,"85+",4712.2,64320
"2021-01-16",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1428,125866
"2021-01-15",nation,E92000001,England,newAdmissions,,,3295
"2021-01-15",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",295.6,100037
"2021-01-15",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",24.3,1919
"2021-01-15",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",48.6,1968
"2021-01-15",nation,E92000001,England,cumAdmissionsByAge,"85+",4655.8,63551
"2021-01-15",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1411.9,124450
"2021-01-14",nation,E92000001,England,newAdmissions,,,3678
"2021-01-14",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",292,98814
"2021-01-14",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",24.1,1906
"2021-01-14",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",48.1,1948
"2021-01-14",nation,E92000001,England,cumAdmissionsByAge,"85+",4606.8,62882
"2021-01-14",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1396.5,123087
"2021-01-13",nation,E92000001,England,newAdmissions,,,3840
"2021-01-13",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",287.8,97407
"2021-01-13",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",23.9,1890
"2021-01-13",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",47.6,1927
"2021-01-13",nation,E92000001,England,cumAdmissionsByAge,"85+",4551.5,62127
"2021-01-13",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1379.7,121608
"2021-01-12",nation,E92000001,England,newAdmissions,,,4134
"2021-01-12",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",283.6,95983
"2021-01-12",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",23.7,1876
"2021-01-12",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",46.8,1895
"2021-01-12",nation,E92000001,England,cumAdmissionsByAge,"85+",4497,61383
"2021-01-12",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1361.2,119984
"2021-01-11",nation,E92000001,England,newAdmissions,,,3894
"2021-01-11",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",279,94435
"2021-01-11",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",23.5,1858
"2021-01-11",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",46.1,1868
"2021-01-11",nation,E92000001,England,cumAdmissionsByAge,"85+",4433.8,60520
"2021-01-11",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1342.2,118306
"2021-01-10",nation,E92000001,England,newAdmissions,,,3571
"2021-01-10",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",274.7,92957
"2021-01-10",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",23.2,1837
"2021-01-10",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",45.7,1852
"2021-01-10",nation,E92000001,England,cumAdmissionsByAge,"85+",4376,59731
"2021-01-10",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1324.2,116716
"2021-01-09",nation,E92000001,England,newAdmissions,,,3718
"2021-01-09",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",271,91724
"2021-01-09",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",23,1817
"2021-01-09",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",45.4,1838
"2021-01-09",nation,E92000001,England,cumAdmissionsByAge,"85+",4318.3,58944
"2021-01-09",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1307,115199
"2021-01-08",nation,E92000001,England,newAdmissions,,,3549
"2021-01-08",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",267,90368
"2021-01-08",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",22.9,1809
"2021-01-08",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",44.9,1818
"2021-01-08",nation,E92000001,England,cumAdmissionsByAge,"85+",4262.1,58177
"2021-01-08",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1289.2,113632
"2021-01-07",nation,E92000001,England,newAdmissions,,,3849
"2021-01-07",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",263.2,89092
"2021-01-07",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",22.7,1793
"2021-01-07",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",44.1,1788
"2021-01-07",nation,E92000001,England,cumAdmissionsByAge,"85+",4208.1,57439
"2021-01-07",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1272.3,112144
"2021-01-06",nation,E92000001,England,newAdmissions,,,3967
"2021-01-06",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",259.1,87673
"2021-01-06",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",22.4,1769
"2021-01-06",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",43.6,1764
"2021-01-06",nation,E92000001,England,cumAdmissionsByAge,"85+",4148.8,56630
"2021-01-06",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1254.5,110571
"2021-01-05",nation,E92000001,England,newAdmissions,,,3697
"2021-01-05",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",254.6,86161
"2021-01-05",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",22.1,1744
"2021-01-05",nation,E92000001,England,cumAdmissionsByAge,"0_to_5",43,1740
"2021-01-05",nation,E92000001,England,cumAdmissionsByAge,"85+",4092.2,55858
"2021-01-05",nation,E92000001,England,cumAdmissionsByAge,"65_to_84",1235.9,108937
"2021-01-04",nation,E92000001,England,newAdmissions,,,3587
"2021-01-04",nation,E92000001,England,cumAdmissionsByAge,"18_to_64",250.5,84763
"2021-01-04",nation,E92000001,England,cumAdmissionsByAge,"6_to_17",21.8,1721
