"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,56,56,1,100,8606033,0.65,0.65,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,376,432,1,100,8606033,4.37,5.02,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,2263,2695,1,100,8606033,26.3,31.32,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,6558,9253,1,100,8606033,76.2,107.52,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,7346,16599,1,100,8606033,85.36,192.88,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,6025,22624,1,100,8606033,70.01,262.89,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,3599,26223,1,100,8606033,41.82,304.7,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,1840,28063,1,100,8606033,21.38,326.09,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,1167,29230,1,100,8606033,13.56,339.65,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,699,29929,1,100,8606033,8.12,347.77,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,402,30331,1,100,8606033,4.67,352.44,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,231,30562,1,100,8606033,2.68,355.12,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,154,30716,1,100,8606033,1.79,356.91,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,126,30842,1,100,8606033,1.46,358.38,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,99,30941,1,100,8606033,1.15,359.53,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,140,31081,1,100,8606033,1.63,361.15,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,171,31252,1,100,8606033,1.99,363.14,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,357,31609,1,100,8606033,4.15,367.29,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202027,684,32293,1,100,8606033,7.95,375.24,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202028,635,32928,1,100,8606033,7.38,382.62,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202029,715,33643,1,100,8606033,8.31,390.92,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202030,826,34469,1,100,8606033,9.6,400.52,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202031,1155,35624,1,100,8606033,13.42,413.94,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202032,1100,36724,1,100,8606033,12.78,426.72,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202033,1574,38298,1,100,8606033,18.29,445.01,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202034,1855,40153,1,100,8606033,21.55,466.57,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202035,2091,42244,1,100,8606033,24.3,490.86,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202036,2456,44700,1,100,8606033,28.54,519.4,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202037,2861,47561,1,100,8606033,33.24,552.65,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202038,2905,50466,1,100,8606033,33.76,586.4,"COVID19Cases","","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
