"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202009,0,0,NA,NA,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202010,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202011,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202012,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202013,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202014,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202015,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202016,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202017,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202018,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202019,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202020,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202021,0,0,0,0,873043,0,0,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202022,1,1,0.25,25,873043,0.11,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202023,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202024,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202025,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202026,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202027,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202028,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202029,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202030,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202031,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202032,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202033,0,1,0,0,873043,0,0.11,"COVID19Death","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
