"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,0,0,NA,NA,8606033,0,0,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,3,3,1,100,8606033,0.03,0.03,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,25,28,1,100,8606033,0.29,0.33,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,99,127,1,100,8606033,1.15,1.48,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,254,381,1,100,8606033,2.95,4.43,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,381,762,1,100,8606033,4.43,8.85,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,341,1103,1,100,8606033,3.96,12.82,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,240,1343,1,100,8606033,2.79,15.61,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,194,1537,1,100,8606033,2.25,17.86,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,88,1625,1,100,8606033,1.02,18.88,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,54,1679,1,100,8606033,0.63,19.51,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,17,1696,1,100,8606033,0.2,19.71,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,14,1710,1,100,8606033,0.16,19.87,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,4,1714,1,100,8606033,0.05,19.92,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,1,1715,1,100,8606033,0.01,19.93,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,4,1719,1,100,8606033,0.05,19.97,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,2,1721,1,100,8606033,0.02,20,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,1,1722,1,100,8606033,0.01,20.01,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202027,2,1724,1,100,8606033,0.02,20.03,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202028,2,1726,1,100,8606033,0.02,20.06,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202029,4,1730,1,100,8606033,0.05,20.1,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202030,5,1735,1,100,8606033,0.06,20.16,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202031,5,1740,1,100,8606033,0.06,20.22,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202032,5,1745,1,100,8606033,0.06,20.28,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202033,5,1750,1,100,8606033,0.06,20.33,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202034,5,1755,1,100,8606033,0.06,20.39,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202035,4,1759,1,100,8606033,0.05,20.44,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202036,13,1772,1,100,8606033,0.15,20.59,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202037,17,1789,1,100,8606033,0.2,20.79,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202038,15,1804,1,100,8606033,0.17,20.96,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202039,12,1816,1,100,8606033,0.14,21.1,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202040,11,1827,1,100,8606033,0.13,21.23,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202041,17,1844,1,100,8606033,0.2,21.43,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202042,43,1887,1,100,8606033,0.5,21.93,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202043,142,2029,1,100,8606033,1.65,23.58,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202044,315,2344,1,100,8606033,3.66,27.24,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202045,540,2884,1,100,8606033,6.27,33.51,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202046,602,3486,1,100,8606033,7,40.51,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202047,586,4072,1,100,8606033,6.81,47.32,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202048,592,4664,1,100,8606033,6.88,54.19,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202049,569,5233,1,100,8606033,6.61,60.81,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202050,575,5808,1,100,8606033,6.68,67.49,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202051,603,6411,1,100,8606033,7.01,74.49,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-51",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202052,557,6968,1,100,8606033,6.47,80.97,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-52",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202053,463,7431,1,100,8606033,5.38,86.35,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-53",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202101,346,7777,1,100,8606033,4.02,90.37,"COVID19Death","","2021-01-15_07-50-56","isoweek","2021-01",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202102,153,7930,1,100,8606033,1.78,92.14,"COVID19Death","","2021-01-15_07-50-56","isoweek","2021-02",FALSE,FALSE,FALSE,FALSE,FALSE
"CHFL",202009,0,0,NA,NA,8644780,0,0,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202010,3,3,1,100,8644780,0.03,0.03,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202011,25,28,1,100,8644780,0.29,0.32,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202012,99,127,1,100,8644780,1.15,1.47,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202013,254,381,1,100,8644780,2.94,4.41,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202014,382,763,1,100,8644780,4.42,8.83,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202015,341,1104,1,100,8644780,3.94,12.77,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202016,240,1344,1,100,8644780,2.78,15.55,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202017,194,1538,1,100,8644780,2.24,17.79,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202018,88,1626,1,100,8644780,1.02,18.81,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202019,54,1680,1,100,8644780,0.62,19.43,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202020,17,1697,1,100,8644780,0.2,19.63,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202021,14,1711,1,100,8644780,0.16,19.79,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202022,4,1715,1,100,8644780,0.05,19.84,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202023,1,1716,1,100,8644780,0.01,19.85,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202024,4,1720,1,100,8644780,0.05,19.9,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202025,2,1722,1,100,8644780,0.02,19.92,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202026,1,1723,1,100,8644780,0.01,19.93,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202027,2,1725,1,100,8644780,0.02,19.95,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202028,2,1727,1,100,8644780,0.02,19.98,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202029,4,1731,1,100,8644780,0.05,20.02,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202030,5,1736,1,100,8644780,0.06,20.08,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202031,5,1741,1,100,8644780,0.06,20.14,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202032,5,1746,1,100,8644780,0.06,20.2,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202033,5,1751,1,100,8644780,0.06,20.25,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202034,5,1756,1,100,8644780,0.06,20.31,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202035,4,1760,1,100,8644780,0.05,20.36,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202036,13,1773,1,100,8644780,0.15,20.51,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202037,17,1790,1,100,8644780,0.2,20.71,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202038,15,1805,1,100,8644780,0.17,20.88,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202039,12,1817,1,100,8644780,0.14,21.02,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202040,11,1828,1,100,8644780,0.13,21.15,"COVID19Death","","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
