"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202009,2,2,0.038,3.8,873043,0.23,0.23,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202010,1,3,0.009,0.9,873043,0.11,0.34,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202011,3,6,0.009,0.9,873043,0.34,0.69,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202012,7,13,0.008,0.8,873043,0.8,1.49,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202013,1,14,0.001,0.1,873043,0.11,1.6,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202014,6,20,0.009,0.9,873043,0.69,2.29,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202015,1,21,0.003,0.3,873043,0.11,2.41,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202016,0,21,0,0,873043,0,2.41,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202017,0,21,0,0,873043,0,2.41,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202018,5,26,0.078,7.8,873043,0.57,2.98,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202019,0,26,0,0,873043,0,2.98,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202020,0,26,0,0,873043,0,2.98,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
