"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202009,26,26,0.5,50,4268863,0.61,0.61,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202010,56,82,0.514,51.4,4268863,1.31,1.92,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202011,196,278,0.565,56.5,4268863,4.59,6.51,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202012,513,791,0.614,61.4,4268863,12.02,18.53,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202013,730,1521,0.629,62.9,4268863,17.1,35.63,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202014,416,1937,0.627,62.7,4268863,9.74,45.38,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202015,217,2154,0.599,59.9,4268863,5.08,50.46,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202016,127,2281,0.583,58.3,4268863,2.98,53.43,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202017,61,2342,0.575,57.5,4268863,1.43,54.86,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202018,32,2374,0.5,50,4268863,0.75,55.61,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202019,17,2391,0.548,54.8,4268863,0.4,56.01,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202020,13,2404,0.52,52,4268863,0.3,56.31,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202021,5,2409,0.333,33.3,4268863,0.12,56.43,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202022,10,2419,0.526,52.6,4268863,0.23,56.67,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202023,4,2423,0.8,80,4268863,0.09,56.76,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202024,4,2427,0.571,57.1,4268863,0.09,56.85,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202025,9,2436,0.529,52.9,4268863,0.21,57.06,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202026,9,2445,0.529,52.9,4268863,0.21,57.28,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202027,22,2467,0.579,57.9,4268863,0.52,57.79,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202028,33,2500,0.611,61.1,4268863,0.77,58.56,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202029,23,2523,0.657,65.7,4268863,0.54,59.1,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202030,40,2563,0.69,69,4268863,0.94,60.04,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202031,34,2597,0.557,55.7,4268863,0.8,60.84,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202032,29,2626,0.592,59.2,4268863,0.68,61.52,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202033,22,2648,0.415,41.5,4268863,0.52,62.03,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202034,29,2677,0.569,56.9,4268863,0.68,62.71,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202035,25,2702,0.568,56.8,4268863,0.59,63.3,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202036,43,2745,0.597,59.7,4268863,1.01,64.3,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202037,49,2794,0.49,49,4268863,1.15,65.45,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202038,59,2853,0.578,57.8,4268863,1.38,66.83,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202039,58,2911,0.527,52.7,4268863,1.36,68.19,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202040,82,2993,0.519,51.9,4268863,1.92,70.11,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202041,143,3136,0.528,52.8,4268863,3.35,73.46,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202042,375,3511,0.599,59.9,4268863,8.78,82.25,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202043,652,4163,0.556,55.6,4268863,15.27,97.52,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202044,922,5085,0.591,59.1,4268863,21.6,119.12,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202045,955,6040,0.596,59.6,4268863,22.37,141.49,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202046,835,6875,0.574,57.4,4268863,19.56,161.05,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
