"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,52,52,1,100,8606033,0.6,0.6,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,109,161,1,100,8606033,1.27,1.87,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,347,508,1,100,8606033,4.03,5.9,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,836,1344,1,100,8606033,9.71,15.62,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,1161,2505,1,100,8606033,13.49,29.11,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,663,3168,1,100,8606033,7.7,36.81,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,362,3530,1,100,8606033,4.21,41.02,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,218,3748,1,100,8606033,2.53,43.55,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,106,3854,1,100,8606033,1.23,44.78,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,64,3918,1,100,8606033,0.74,45.53,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,31,3949,1,100,8606033,0.36,45.89,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,25,3974,1,100,8606033,0.29,46.18,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,15,3989,1,100,8606033,0.17,46.35,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,19,4008,1,100,8606033,0.22,46.57,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,5,4013,1,100,8606033,0.06,46.63,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,7,4020,1,100,8606033,0.08,46.71,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,17,4037,1,100,8606033,0.2,46.91,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,17,4054,1,100,8606033,0.2,47.11,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202027,38,4092,1,100,8606033,0.44,47.55,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202028,54,4146,1,100,8606033,0.63,48.18,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202029,35,4181,1,100,8606033,0.41,48.58,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202030,58,4239,1,100,8606033,0.67,49.26,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202031,61,4300,1,100,8606033,0.71,49.96,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202032,49,4349,1,100,8606033,0.57,50.53,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202033,53,4402,1,100,8606033,0.62,51.15,"COVID19Hosp","","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
