"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Iso",23974,"CHFL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",33100,"CHFL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",4762,"CHFL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_reporting_cantons",21,"CHFL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",23882,"CH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",32972,"CH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",4735,"CH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_reporting_cantons",21,"CH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1825,"AG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",40,"AI",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",215,"AR",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",2525,"BE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",550,"BL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",444,"BS",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",92,"FL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1127,"GE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",165,"GL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",440,"GR",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",173,"JU",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1753,"LU",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",440,"NE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",2160,"SG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",192,"SH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",705,"SZ",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1025,"TG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1015,"TI",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",3369,"VD",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",1146,"VS",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",324,"ZG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Iso",4249,"ZH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",4046,"AG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",51,"AI",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",148,"AR",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",4162,"BE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",0,"BL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",380,"BS",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",128,"FL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",1057,"GE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",217,"GL",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",595,"GR",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",349,"JU",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",1731,"LU",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",626,"NE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",2007,"SG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",256,"SH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",490,"SZ",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Qua",1603,"TG",2021-01-15,"day","2021-01-15_07-50-56"
