"geoRegion","date","median_R_mean","median_R_highHPD","median_R_lowHPD","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","type","version"
"AG",2020-02-07,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-08,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-10,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-13,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-14,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-15,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-17,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-18,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-19,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-20,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-21,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-22,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-25,1.31,2.66,0.43,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-26,1.44,2.74,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-27,1.52,2.95,0.56,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-28,1.71,3.12,0.73,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-02-29,1.99,3.35,0.96,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-01,2.25,3.68,1.17,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-02,2.42,3.81,1.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-03,2.64,3.88,1.6,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-04,2.71,3.9,1.77,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-05,2.81,3.86,1.91,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-06,2.75,3.68,1.97,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-07,2.63,3.46,1.94,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-08,2.45,3.1,1.85,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-09,2.21,2.78,1.71,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-10,2,2.49,1.56,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-11,1.83,2.27,1.45,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-12,1.72,2.1,1.37,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-13,1.64,1.99,1.32,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-14,1.56,1.87,1.27,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-15,1.47,1.77,1.21,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-16,1.4,1.67,1.15,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-17,1.32,1.58,1.1,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-18,1.26,1.49,1.04,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-19,1.2,1.42,0.99,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-20,1.15,1.36,0.96,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-21,1.1,1.31,0.92,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-22,1.06,1.25,0.88,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-23,1,1.19,0.83,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-24,0.95,1.13,0.78,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-25,0.89,1.07,0.73,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-26,0.84,1.02,0.68,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-27,0.8,0.97,0.65,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-28,0.77,0.95,0.62,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-29,0.75,0.92,0.59,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-30,0.73,0.9,0.57,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-03-31,0.7,0.87,0.54,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-01,0.67,0.85,0.51,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-02,0.66,0.84,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-03,0.65,0.84,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-04,0.66,0.86,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-05,0.68,0.89,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-06,0.7,0.92,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-07,0.71,0.95,0.51,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-08,0.73,0.98,0.51,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-09,0.74,1,0.52,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-10,0.77,1.04,0.54,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-11,0.8,1.1,0.56,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-12,0.85,1.16,0.58,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-13,0.87,1.19,0.6,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-14,0.86,1.18,0.6,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-15,0.84,1.16,0.57,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-16,0.8,1.12,0.53,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-17,0.76,1.07,0.49,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-18,0.73,1.03,0.46,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-19,0.71,1.02,0.44,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-20,0.7,1.03,0.43,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-21,0.69,1.04,0.42,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-22,0.69,1.05,0.41,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-23,0.68,1.05,0.4,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-24,0.68,1.07,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-25,0.69,1.09,0.37,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-26,0.7,1.13,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-27,0.73,1.19,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-28,0.75,1.25,0.4,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-29,0.78,1.29,0.4,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-04-30,0.79,1.3,0.39,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-05-01,0.79,1.32,0.39,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-05-02,0.8,1.35,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-05-03,0.8,1.36,0.39,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-05-04,0.81,1.38,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
"AG",2020-05-05,0.81,1.41,0.38,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-17_10-01-23"
